"BlkOutList 
DC BLACK PRIDE 2026 GUIDE",,,,,,,,,
"For corrections or additions reach out to blkoutlist@gmail.com or @_dojomo on twitter/x

If you found this helpful, feel free to send a tip via Cash App: $dojomoX ",,,,,,,,,
Event Name,,Promoter,Event Type,Time,Price,Venue Name,Venue Location,IG/ Info,Tickets
"Tuesday - May 19, 2026",,,,,,,,,
Event Name,,Promoter,Event Type,Time,Price,Venue Name,Venue Location,IG/ Info,Tickets
Art Activated DC Black Pride,,Activated Productions,Creative Night,6pm - 10pm,Free 🆓,Thurst Lounge,2204 14th St NW,@activated.productions,Partiful
,,,,,,,,,
"Wednesday - May 20, 2026",,,,,,,,,
Event Name,,Promoter,Event Type,Time,Price,Venue Name,Venue Location,IG/ Info,Tickets
EAT: For the Record by Black Vibes Media,,Black Vibes Media,Movie Screening,6:30 PM,$10,Howard University Digital Auditorium,2397 6th St NW,@blackvibesmedia,Tickets
Karaoke Wednesdays at Thurst,,Tre Thomas,Karoke,8pm - ,Free 🆓,Thurst,2204 14th Street NW,@thurstlounge,IG Post
,,,,,,,,,
"Thursday - May 21, 2026",,,,,,,,,
Event Name,,Promoter,Event Type,Time,Price,Venue Name,Venue Location,IG/ Info,Tickets
Brown Sugar Rooftop Happy Hour,♀,Bliss Pride,Happy Hour,5pm - 10pm,"GA: $15
Day of Ticket ($20)",Decades,1219 Connecticut Ave,@blissprideforher,Tickets
Grown & Sexy Thursday,,RossNRon | CL Productions,Night Party,5pm - 10pm,GA: $17,Capo Deli,715 Florida Ave,@rossnron_clproductions,Tickets
Welcome to DC: Happy Hour,,Us Helping Us,Happy Hour,5pm - 10pm,$20,Metrobar,640 Rhode Island Ave NE,@ushelpingus,Tickets
GPMC Presents: Create in Color,,Gay Professional Men of Color,Creative Night,6pm - 9pm,Free 🆓,The Festival Center,1640 Columbia RD NW,@gpmc.dc,Free 
Mr. and Miss DC Black Pride Pageant,,,Pageant,6pm - 9pm,,Westin DC Downtown,999 9th St NW,DC Black Pride,
All Gays Go to Prison,,Seven Black Minutes,Comedy Show,7pm - 9pm,$29,Thrive Hair Bar,528 H Street NE,,Eventbrite
Game Night x Deviant Events,,Deviant Events,Night Party,7pm - ,Free 🆓,Thurst,2204 14th Street NW,@thurstlounge,
Unleashed DC: Sweet Beginnings,♀,Unleashed DC,Night Party,7pm - 1am,"Early Bird: $12
Table Resy: $56",12 Stories,"75 District Square SW
12th Floor",@unleasheddc,Posh
DC Black Pride Kickoff Rooftop Party / Pass Distribution,,Xavier Entertainment,Rooftop Party,8:30pm - 2am,Price at Door,Nellies Sports Bar,900 U St NW,@xavier_entertainment,Eventbrite
The Jump Off,,Lit Parties DC,Night Party,9pm - 2am,"Free 🆓 before 11pm w/ Ticket
GA: $12",Pure Lounge,1326 U St,@lit.parties_dc_official,Posh
10th Annual DC Black Pride Unity Ball,,DC Black Pride,Ball,9pm - ," Free 🆓, Donations Accepted",Westin DC Downtown,999 9th St NW,,Tickets
The Pre-Game,,Daryl Wilson,Night Party,10pm - 2am,Price at Door,Icon DC,2001 11th St NW,@theedarylwilson,Price at Door
,,,,,,,,,
"Friday - May 22, 2026",,,,,,,,,
Event Name,,Promoter,Event Type,Time,Price,Venue Name,Venue Location,IG/ Info,Tickets
House and Ballroom Leadership Summit,,DC Black Pride,Summit,9am - 5pm,,Westin DC Downtown,999 9th St NW,Information,Registration
Fresh Happy Hour of DC,,MooreRich Entertainment,Happy Hour,4pm - 10pm,"Free 🆓 Before 5pm w/ Ticket
Early Bird Ticket: $25
Advance Ticket: $30",Twelve after Twelve,1212 18th St NW,@moorerichent,Eventbrite
Welcome Reception ,,Daryl Wilson,Reception,3pm - 9pm,,Westin DC Downtown,999 9th St NW,@theedarylwilson,
Welcome Reception / Pass Distribution,,Xavier Entertainment,Reception,5pm - 8pm,,The Mayflower,1137 Connecticut Ave NW,@xavier_entertainment,Eventbrite
Bounce Friday,,Thurst Lounge,Happy Hour,5pm -,Free 🆓 ,Thurst Lounge,2204 14th St NW,@thurstlounge,
Pride in the District: Welcome Party,,Pride in the District,Day Party,5pm - 9pm,Free 🆓 w/ RSVP,Flash,645 Florida Ave NW,@prideinthedistrict,Posh
Grown & Sexy Friday,,RossNRon | CL Productions,Night Party,5pm - 10pm,GA: $33 - $55,Whitlows,901 U St NW,@rossnron_clproductions,Tickets
DC Black Pride Opening Reception,,DC Black PRide,Reception ,5:00 PM,Sold Out,Westin DC Downtown,999 9th St NW,,Tickets
COURAGE: Nude Yoga,,Charles Mindful Wellness LLC,Yoga,8pm - 9:30pm,$35,Address Provided on Registration,14th & P,,Tickets
The #1 Afrobeats Night Pride Party in the USA,,Afrokings Entertainment,Night Party,9pm - 3am,"Early Bird: $12
GA: $15",Next Level Club,15 K St NE,@stephen_lombe,Posh
The 3000 Men Block Party,,"Xavier Entertainment &
Daryl Wilson",Night Party,9:30pm - 3:30am,"Price at Door
VIP: $162",Karma Night Club,2221 Adams Place NE,"@xavier_entertainment
@theedarylwilson",Eventbrite
A Party in the District,,ACT XXIV,Night Party,10pm - 3am,GA: $35,Sachi ,727 15th St NW,@actxxiv,Posh
Black Sugar: District After Dark,♀,Unleashed DC,Night Party,10pm - 3am,"GA: $23
Table Resy: $166",The Gathering Spot DC,1720 I St NW,@unleasheddc,Posh
Dipped All Nude,♀,Bliss Pride,Night Party,10pm - 3am,"Advanced Ticket: $20
Day of Ticket: $25",Strand,1400 I St NW,@blissprideforher,Tickets
DITD DC Pride Feel Good Fridaze,,Day in the District,Night Party,10pm - 3am,"Before 12am: $23
GA: $34",,734 11st St NW,@dayinthedistrict_,Posh
Freakquency Presents: The Black Solstice,,Freakquency,Circuit Party,10pm - 3am,GA:  $77,Bertha,1237 W St NE,@freakquencydc,Dice
Lit Party,,Lit Parties DC,Night Party,10pm - 3am,"Free 🆓 before 12am w/ Ticket
GA:  $12",Flair DC,2210 14th NW,@lit.parties_dc_official,Posh
Pride in the District: Weekend Kickoff Night Party,,Pride in the District,Night Party,10pm - 3am,Free 🆓 w/ RSVP,Phantom,1327 Connecticut Ave NW,@prideinthedistrict,Posh
ElevateEnt: MDW Kickoff Year 2,,Elevate Entertainment,Night Party,10pm - 4am,"Before 11pm: $18
Early Bird: $34",Public Bar,1214 18th St NW,@elevatendc,Posh
The Big Boy Convergence,,Big Boy Pride,Night Party,11pm - 4am,$30 before Midnight,St Yves,1220 Connecticut Ave NW,@the_official_big_boy_pride,Pay at Door
Reggie Riich: After Hours - Vol.1- Unlocked,,Reggie Riich,Night Party + After Hours,3:30am - 9am,Early Bird: $40,Bunker,2001 14th St NW,@reggieriichevents,Posh
,,,,,,,,,
"Saturday - May 23, 2026",,,,,,,,,
Event Name,,Promoter,Event Type,Time,Price,Venue Name,Venue Location,IG/ Info,Tickets
Its 5 O'Clock Somewhere,,ElevatEnt x WithLoveDC,Day Party,9am - 2pm,Free 🆓,Lucky Bar,1221 Connecticut Ave NW,@_withlovedc,Posh
Oasis Day Party & Festival,♀,Unleashed DC,Day Party,12pm - 7pm,GA:  $11.99,Metrobar,640 Rhode Island Ave NE,@unleasheddc,Posh
DC Black Pride Writers Forum,,DC Black Pride,Creative ,1pm - 3pm,Free 🆓,Westin DC Downtown,999 9th St NW,,Link
Dre's 6th Annual Cookout,,Dre & The Hamilton Foundation,Cookout,2pm - 8pm,GA: $40,Sycamore & Oak,1110 Oak Dr SE,@comme.des.dre,Posh
PRIDE BY THE POOL DAY PARTY,,DeBonaire Entertainment,Pool Party,2pm - 10pm,Starting at $60,"D Estates
Camp Spring, MD",Address avail upon purchase,D.entertainment.dc@gmail.com,Tickets
New Black Renaissance: Generations Social,,DC Black Pride,Networking,3pm - 6pm,Free 🆓,Westin DC Downtown,999 9th Street NW,,
Grown & Sexy Saturday Day Party,,RossNRon | CL Productions,Day Party,3pm - 8pm,"Early Bird Ticket: $17
Bring a Friend: $22 - $33",Ivy City Smokehouse,1356 Okie St NE,@rossnron_clproductions,Tickets
DC Black Pride Afrobeats Backyard Party 2.0,,"Uche, Temi, and Friends",Day Party,3pm - 10pm,"Early Bird: $25
GA: $30","6203 L St
Capitol Heights, MD 20743",The Yard,@famousvalevents,Posh
Splash DC: Memorial Day Weekend Pool Party,,Good Dayz,Pool Party,4pm- 8pm,GA:  $42,Hotel Zena,1155 14th St NW,@gooddayznyc,Posh
Sun-Kissed R&B Day Party,♀,Bliss Pride,Day party,4pm - 9pm,"Advanced Ticket: $20
Day of Ticket: $25",Signature Lounge,1727 Connecticut Ave NW,@blissprideforher,Tickets
5th Annual SaturDAZED: The Ultimate Day Party,,MooreRich Entertainment,Day Party,4pm - 10pm,"Free 🆓 Before 5pm w/ Ticket
Early Bird Ticket: $25
Advance Ticket: $47",Citizens & Culture,"8114 Georgia Avenue
Silver Spring, MD",@moorerichent,Eventbrite
DITD DC Pride Day Party,,Day in the District,Day Party,4pm - 10pm,"Early Bird before 6pm: $34
GA:  $45",Throw Social,1401 Okie St NE,@dayinthedistrict_,Posh
Meatloaf Cookout Day Party,,Xavier Entertainment,Day Party,4:30pm - 9pm,"GA:  ($23.18)
VIP ($161.90)",Aqua Nightclub,1818 New York Ave NE,@xavier_entertainment,Eventbrite
Voices for Equality: Moving Hearts & Changing Minds Through Storytelling,,DC Black Pride,Workshop,5pm - ,Free 🆓,Westin DC Downtown,999 9th St NE,,
Pride in the District: Sunset Day Party,,Pride in the District,Day Party,5pm - 9pm,Free 🆓 w/ RSVP,Ultrabar,911 F St NW,@prideinthedistrict,Posh
Quenchfest: Sip & Slide,,Thurst Lounge,Happy Hour,5pm - 9pm,Free 🆓,Thurst Lounge,2204 14th St NW,@thurstlounge,
DC Black Pride Main Event Day Party,,DC Black Pride,Day Party,5pm - 10pm,Tickets start at $29,Strand,1400 I St NW,,Eventbrite
Hot Boyz Takeover Day Party,,Daryl Wilson,Day Party,5pm - 10pm,Price at Door ,Sandlot Uptown,1900 7th St NW,@theedarylwilson,
300 Men Elevated Day Party,,Lit Parties DC,Day party,5pm - 10pm,"Free 🆓 before 7pm w/ Ticket
GA: $23",Tipsy Lounge,1212 U St NW,@lit.parties_dc_official,Posh
Uncle J's Meet & Greet,,Big Boy Pride,Happy Hour,5pm - 10:30pm,$5,The Green Lantern,1335 Green Ct NW,@the_official_big_boy_pride,Pay at Door
Mary Bowman Poetry Slam and Open Mic,,DC Black Pride,Creative,6pm - 8pm,Free 🆓,Westin DC Downtown,999 9th St NW,,
Desire Without Definition,♀,"Beta Kappa & Beta Lambda Chapters of Beta Phi Omega Sorority, Inc. ",Night Event,7pm - 10pm,$20,Spark Social House,2009 14th St NW,Spark Social,Tickets
Quenchfest: Baddies on Baddies,,Thurst Lounge,Night Party,9pm - 3am,Free 🆓,Thurst Lounge,2204 14th St NW,@thurstlounge,
Boozy Blackout,,Boozy Bounce,Night Party,10pm - 3am,Early Bird before 11: $35,Strand,1400 I Street NW,@boozybounce,
DC Playground,,Deviant Events,Circuit Party,10pm - 3am,"Before 12am: $34
GA:  $51
Coat Check: $12",Culture,2006 Fenwick St NW,Deviant.Live,Tickets
Midnight Melt: The Ultimate Indulgence,♀,Unleashed DC,Night Party,10pm - 3am,"Early Bird: $29
Table Resy: $166",Public Bar Live,1214 18th St NW,@unleasheddc,Posh
Pride in the District: Official Main Event,,Pride in the District,Night Party,10pm - 3am,Free 🆓 w/ RSVP,Royal Sands Social Club,26 N St NE,@prideinthedistrict,Posh
Pure Bliss DC Black Pride Main Event,♀,Bliss Pride,Night Party,10pm - 3am,"GA:  $25
Day of Ticket: $45",Next Level Nightclub,15 K St NE,@blissprideforher,Tickets
The All White Party,,Daryl Wilson & Xavier Entertainment,Night Party,10pm - 4am,Price at Door ,Echostage,2136 Queens Chapel Rd NE,@theedarylwilson & @xavier_entertainment,Eventbrite
Birthrite x Black Market,,Black Market,Night Party / Rave,10pm - 6am,"Enter by 11pm: $46
GA: $81",Hook Hall,3400 Georgia Ave NW,@black.market.nyc,Tickets
Freakquency Presents: The Blackout DC Pride Edition,,Freakquency,Circuit After Party,"3:30a - 8am
Saturday Night / Sunday Morning",GA:  $40,Transmission,1353 H Street NE,@freakquencydc,Streets App
Reggie Riich: After Hours - Vol.2- CTRL MODE,,Reggie Riich,Night Party + After Hours,3:30am - 9am,Early Bird: $40,Bunker,2001 14th St NW,@reggieriichevents,Posh
,,,,,,,,,
"Sunday - May 24, 2026",,,,,,,,,
Event Name,,Promoter,Event Type,Time,Price,Venue Name,Venue Location,IG/ Info,Tickets
Black Pride Brunch,,The Strand Restaurant ,Brunch,11:30 - 4pm,Free Entry,The Strand Restaurant,5131 Nannie Helen Burroughs Ave NE,,Free Entry
7th Annual Brunch Badies,,DC Black Pride,Brunch,12pm - ,Tickets start at $20,Hook Hall,3400 Georgia Ave NW,,Ticket
Afroqueer Presents: One for the Road Day Party,,Afroqueer,Day Party,12pm - 5pm,Free,MK on U,913 U St NW,@afroqueer_presents,Posh
Sunday Service Brunch by Boozy Bounce,,Boozy Bounce,Brunch,12pm - 5pm,Tickets start at $24,Lima Twist,1411 K Street NW,@boozybounce,Posh
Do You Want to Get Funky With Me?,♀,Women in the Life Association and National LGBTQ Task Force,Brunch + Day Party,12pm - 6pm,Free 🆓 w/ Reservation,The Continent,110 Vermont Ave NW,,Eventbrite
Sweet Like Brown Sugar Brunch,♀,Bliss Pride,Brunch,1pm - 5pm,Tickets start at $54,Selva,1223 Connecticut Ave NW,@blissprideforher,Ticket
Brunch in the District ,,ACT XXIV,Brunch,1pm - 7pm,"Free 🆓
Section: $114",Vortex Restaurant & Lounge,1426 L St NW,@actxxiv,Posh
Quenchfest: Sunday Funday,,Thurst Lounge,,2pm - 9pm,Free 🆓,Thurst Lounge,2204 14th St NW,@thurstlounge,
Jerrell's Memorial Day Brunch,,Jerrell,Brunch,2:30pm - ,"Early Bird: $45
GA: $56",Announced day of the Event,Announced day of the Event,@the_rell_journey,Posh
GSpot Ultimate Day Party,,Positive Effects,Day Party,3pm - 9pm,Tickets start at $30,Bravo! Bravo!,1001 Connecticut Ave NW,,Eventbrite
Penthouse Pool Vibez,,MooreRich Entertainment,Pool Party,4pm - 9pm,"GA:  $41
Last Call: $53

Advanced Tickets Only / No Door Sales",Vida Penthouse Pool & Lounge @ Navy Yard,1212 4th St SE,@moorerichent,Eventbrite
Grown & Sexy Sunday Funday,,RossNRon | CL Productions,Day Party,4pm - 10pm,"Early Bird: $27
GA:  / Bring a Friend ($42 - $78)",Dacha Navy Yard,79 Potomac Ave SE,@rossnron_clproductions,Tickets
Sunday Funday Rooftop Party,,Xavier Entertainment,Day Party,4pm - 4am,Price at Door,Nellies Sports Bar,900 U St NW,@xavier_entertainment,Eventbrite
Sunday Funday w/ Lit Parties DC,,Lit Parties DC,Day Party,4pm - 8pm,Free 🆓 before 6pm w/ ticket,Flair DC,2210 14th NW,@lit.parties_dc_official,Posh
The Sweet Escape Rooftop Finale Day Party,♀,Bliss Pride,Day Party,4pm - 10pm,"GA:  $15
Day of Ticket: $20",Twelve After Twelve,1212 18th St NW,@blissprideforher,Tickets
"""Us Against the World"" Album Release Party",,Good Boy Fashion,Creative,5pm - 7pm,Free,Mixt,"3800 Rhode Island Ave
Brentwood, MD 20722",@goodboyfashion,Free
OUT/spoken,,African-American Collective Theater,Creative,5pm - 8pm,Tickets start at $29,Undercroft Theater,900 Massachusetts Ave NW,,Eventbrite
Spring Fling,♀,The Sapphic Sanctuary,Speed Dating + Game Night,5pm - 8pm,"$15-$25 Sliding Scale for Speed Daters

GA: $15",Death Punch,2321 18th Street NW,@thesapphicsanctuary_ ,Tickets
